Source,Target,Type,Id,Label,timeset,Weight,number_of_coauthored_works
n253,n215,Undirected,e0,,,2,2
n610,n682,Undirected,e1,,,2,2
n614,n525,Undirected,e2,,,2,2
n150,n284,Undirected,e3,,,2,2
n666,n180,Undirected,e4,,,2,2
n162,n184,Undirected,e5,,,2,2
n334,n305,Undirected,e6,,,16,16
n236,n393,Undirected,e7,,,17,17
n148,n696,Undirected,e8,,,3,3
n412,n124,Undirected,e9,,,11,11
n307,n353,Undirected,e10,,,2,2
n111,n180,Undirected,e11,,,3,3
n377,n523,Undirected,e12,,,4,4
n630,n695,Undirected,e13,,,2,2
n692,n326,Undirected,e14,,,6,6
n392,n483,Undirected,e15,,,2,2
n166,n60,Undirected,e16,,,3,3
n352,n198,Undirected,e17,,,2,2
n642,n538,Undirected,e18,,,10,10
n525,n508,Undirected,e19,,,2,2
n528,n453,Undirected,e20,,,4,4
n334,n55,Undirected,e21,,,19,19
n561,n466,Undirected,e22,,,8,8
n449,n187,Undirected,e23,,,3,3
n353,n460,Undirected,e24,,,2,2
n632,n151,Undirected,e25,,,2,2
n599,n450,Undirected,e26,,,2,2
n226,n563,Undirected,e27,,,3,3
n182,n328,Undirected,e28,,,16,16
n443,n236,Undirected,e29,,,18,18
n124,n247,Undirected,e30,,,2,2
n182,n423,Undirected,e31,,,15,15
n505,n124,Undirected,e32,,,10,10
n273,n484,Undirected,e33,,,13,13
n632,n74,Undirected,e34,,,2,2
n538,n124,Undirected,e35,,,16,16
n122,n290,Undirected,e36,,,4,4
n146,n507,Undirected,e37,,,2,2
n590,n346,Undirected,e38,,,2,2
n117,n551,Undirected,e39,,,2,2
n611,n500,Undirected,e40,,,4,4
n44,n292,Undirected,e41,,,2,2
n676,n208,Undirected,e42,,,4,4
n452,n215,Undirected,e43,,,2,2
n714,n489,Undirected,e44,,,12,12
n22,n200,Undirected,e45,,,23,23
n387,n308,Undirected,e46,,,4,4
n37,n275,Undirected,e47,,,2,2
n548,n183,Undirected,e48,,,2,2
n334,n705,Undirected,e49,,,4,4
n452,n269,Undirected,e50,,,2,2
n44,n709,Undirected,e51,,,23,23
n357,n450,Undirected,e52,,,2,2
n182,n44,Undirected,e53,,,21,21
n676,n254,Undirected,e54,,,7,7
n673,n134,Undirected,e55,,,2,2
n490,n19,Undirected,e56,,,3,3
n252,n268,Undirected,e57,,,2,2
n276,n573,Undirected,e58,,,2,2
n151,n175,Undirected,e59,,,2,2
