Id,Label,timeset,times_cited,number_of_authored_works
n0,"Yanamandra-fisher, Pa",,2,1
n1,"Smith, S",,8,3
n2,"Lucas, R",,2,1
n3,"Heilbronn, Lh",,3,2
n4,"Laferriere, Bd",,146,3
n5,"Salvat, Dj",,142,8
n6,"Streeter, S",,2,1
n7,"Galindo-uribarri, A",,178,6
n8,"Lazarova, M",,2,1
n9,"Wolinska-cichocka, M",,16,5
n10,"Justice, D",,2,1
n11,"Martin, Jw",,62,3
n12,"Hoffbauer, Ma",,85,3
n13,"Gulley, S",,2,1
n14,"Burcher, S",,20,4
n15,"Chagnon-lessard, S",,2,2
n16,"Edwins, Dw",,10,5
n17,"Ojakangas, G",,2,1
n18,"Macdonald, Swt",,83,3
n19,"Ramsey, Jc",,70,4
n20,"Anderson, M",,2,1
n21,"Seestrom, Sj",,135,6
n22,"Christofferson, Cd",,343,23
n23,"Tomar, R",,0,2
n24,"Pease, I",,2,1
n25,"Birriel, J",,2,1
n26,"Temple, A",,2,1
n27,"Lee, Ej",,13,3
n28,"Nepal, S",,51,2
n29,"Ball, Gc",,37,7
n30,"Trumpenski, B",,2,1
n31,"Snyder, N",,146,3
n32,"Islam, Sr",,7,2
n33,"Matzek, G",,2,1
n34,"Manspeaker, R",,2,1
n35,"Natzke, Cr",,27,2
n36,"Bautz, T",,2,1
n37,"Lepailleur, A",,13,3
n38,"Reine, Al",,313,20
n39,"Patrick, S",,2,1
n40,"Worley, A",,1,2
n41,"Kwag, Ms",,3,2
n42,"Gibson, L",,2,1
n43,"Lannen, Vte",,1,2
n44,"Henning, R",,343,23
n45,"Liu, Cy",,169,11
n46,"Boeck, A",,2,1
n47,"King, Tt",,13,3
n48,"Mitchell, A",,2,1
n49,"Baker, M",,2,1
n50,"Bagdasarova, Y",,22,2
n51,"Chandler, K",,2,1
n52,"Schmidt, K",,5,2
n53,"Rouf, Nw",,8,3
n54,"Rodgers, M",,10,3
n55,"Zhu, Bx",,312,19
n56,"Orr, E",,2,1
n57,"Tang, Z",,104,7
n58,"Edwards, Tr",,2,2
n59,"Hettick, J",,2,1
n60,"Laffoley, At",,25,4
n61,"Bertrand, Fe",,343,21
n62,"Doucette, E",,2,1
n63,"Cha, Sm",,16,5
n64,"Sharif, Mb",,40,5
n65,"Boggs, D",,2,1
n66,"Sandbak, D",,2,1
n67,"Sun, X",,85,6
n68,"Walstrom, Pl",,81,3
n69,"Shoffner, S",,2,1
n70,"Orrell, Jl",,173,5
n71,"Schmitt, Kt",,21,6
n72,"Sheeley, Nr",,2,1
n73,"Stracener, Dw",,23,8
n74,"Picker, R",,62,3
n75,"Leiendecker, H",,2,1
n76,"Wexler, Jw",,89,4
n77,"Bhattacharjee, Ss",,27,2
n78,"Wellman, J",,2,1
n79,"Ota, S",,10,2
n80,"Orce, Jn",,2,2
n81,"Lopez, Am",,343,22
n82,"Hill, P",,2,1
n83,"Brandon, G",,2,1
n84,"Nesaraja, Cd",,21,9
n85,"Lorusso, G",,30,2
n86,"Hines, Tm",,0,2
n87,"Elliott, Sr",,343,23
n88,"Callahan, Nb",,91,6
n89,"Dupree, Ja",,2,1
n90,"Go, S",,16,5
n91,"Buckner, S",,2,1
n92,"Aguayo, E",,146,2
n93,"Haddock, C",,9,2
n94,"Pantuso, C",,2,1
n95,"Plaster, B",,81,6
n96,"Dullo, Tt",,65,8
n97,"Moukaddam, M",,1,2
n98,"Vorren, K",,251,12
n99,"Maderak, R",,2,1
n100,"Strauss, S",,7,5
n101,"Proctor, D",,2,1
n102,"Baba, H",,30,2
n103,"Roberts, Gw",,2,1
n104,"Andreoiu, C",,36,6
n105,"Neuroth, L",,2,1
n106,"Anderson, J",,2,2
n107,"Levsky, A",,2,1
n108,"Jackson, B",,2,1
n109,"Jones, Kl",,42,11
n110,"Takeda, H",,30,2
n111,"Geltenbort, P",,151,7
n112,"Pattie, Rw",,168,11
n113,"Cerny, A",,2,1
n114,"Kalyanapu, A",,57,7
n115,"Tain, Jl",,13,2
n116,"Watson, Z",,2,1
n117,"Rasco, Bc",,31,8
n118,"Knecht, A",,194,4
n119,"Dickens, J",,2,1
n120,"Mas, M",,2,1
n121,"Ahn, S",,36,12
n122,"Walter, D",,28,6
n123,"Zimmermann, S",,133,2
n124,"Chu, Ph",,343,22
n125,"Bavlnka, J",,2,1
n126,"Ortiz, Jd",,70,2
n127,"Lighthill, R",,2,1
n128,"Starosta, K",,25,4
n129,"Scribner, D",,2,1
n130,"Byram, D",,14,2
n131,"Moazen, Bh",,1,2
n132,"Kao, Sc",,56,5
n133,"Wrede, C",,67,4
n134,"Garrison, D",,2,1
n135,"Madurga, M",,12,3
n136,"Jensen, J",,2,1
n137,"Bowles, Tj",,51,2
n138,"Jigmeddorj, B",,26,6
n139,"Skjellum, A",,5,4
n140,"Romero-romero, E",,30,3
n141,"Bee, B",,2,1
n142,"Hall-conley, G",,2,1
n143,"King, T",,3,2
n144,"Granger, V",,2,1
n145,"Nelson, T",,2,1
n146,"Varner, Rl",,304,25
n147,"Shivelbine, T",,2,1
n148,"Oli, Tk",,11,8
n149,"Claver, Rh",,2,1
n150,"Matos, M",,32,13
n151,"Hoffbauer, M",,3,2
n152,"Gruszko, J",,329,22
n153,"Simacek, Yg",,2,1
n154,"Yokoyama, R",,13,2
n155,"Gelderman, R",,2,1
n156,"Overman, Nr",,146,2
n157,"Magers, S",,9,2
n158,"Garrison, T",,2,1
n159,"Baker, B",,2,1
n160,"Hehn, L",,225,9
n161,"Yakushev, E",,269,14
n162,"Svensson, Ce",,37,7
n163,"Ahmadbasir, M",,2,1
n164,"Fry, J",,11,2
n165,"Falatoun, A",,2,1
n166,"Demand, Ga",,9,3
n167,"Gosain, V",,2,1
n168,"Avignone, Ft",,343,23
n169,"Hall, Mr",,13,3
n170,"Hossain, F",,13,3
n171,"Adams, L",,2,1
n172,"Kamenetzky, J",,2,1
n173,"Fu, Z",,143,2
