Source,Target,Type,Id,Label,timeset,Weight,coauthorships
n51,n42,Undirected,e0,,,54,54
n51,n18,Undirected,e1,,,11,11
n9,n3,Undirected,e2,,,12,12
n4,n42,Undirected,e3,,,50,50
n51,n32,Undirected,e4,,,29,29
n42,n1,Undirected,e5,,,21,21
n20,n27,Undirected,e6,,,13,13
n9,n48,Undirected,e7,,,12,12
n9,n11,Undirected,e8,,,21,21
n14,n50,Undirected,e9,,,13,13
n51,n71,Undirected,e10,,,17,17
n6,n84,Undirected,e11,,,24,24
n9,n15,Undirected,e12,,,11,11
n4,n2,Undirected,e13,,,23,23
n57,n13,Undirected,e14,,,12,12
n9,n36,Undirected,e15,,,12,12
n22,n78,Undirected,e16,,,26,26
n9,n53,Undirected,e17,,,12,12
n95,n34,Undirected,e18,,,15,15
n35,n34,Undirected,e19,,,24,24
n9,n83,Undirected,e20,,,27,27
n78,n71,Undirected,e21,,,17,17
n94,n57,Undirected,e22,,,16,16
n22,n63,Undirected,e23,,,12,12
n9,n12,Undirected,e24,,,24,24
n4,n34,Undirected,e25,,,25,25
n37,n38,Undirected,e26,,,10,10
n43,n18,Undirected,e27,,,12,12
n9,n27,Undirected,e28,,,14,14
n9,n43,Undirected,e29,,,43,43
n18,n11,Undirected,e30,,,13,13
n39,n50,Undirected,e31,,,15,15
n95,n84,Undirected,e32,,,16,16
n29,n84,Undirected,e33,,,27,27
n9,n20,Undirected,e34,,,28,28
n34,n18,Undirected,e35,,,13,13
n43,n20,Undirected,e36,,,26,26
n9,n47,Undirected,e37,,,23,23
n4,n20,Undirected,e38,,,22,22
n51,n43,Undirected,e39,,,35,35
n51,n29,Undirected,e40,,,22,22
n43,n27,Undirected,e41,,,14,14
n9,n52,Undirected,e42,,,31,31
n20,n11,Undirected,e43,,,20,20
n94,n61,Undirected,e44,,,13,13
n94,n63,Undirected,e45,,,12,12
n94,n6,Undirected,e46,,,20,20
n94,n43,Undirected,e47,,,40,40
n42,n18,Undirected,e48,,,26,26
n51,n13,Undirected,e49,,,24,24
n9,n68,Undirected,e50,,,27,27
n4,n29,Undirected,e51,,,24,24
n22,n39,Undirected,e52,,,22,22
n95,n43,Undirected,e53,,,14,14
n43,n29,Undirected,e54,,,24,24
n9,n33,Undirected,e55,,,12,12
n6,n71,Undirected,e56,,,17,17
n43,n42,Undirected,e57,,,59,59
n32,n63,Undirected,e58,,,12,12
n9,n40,Undirected,e59,,,11,11
n20,n34,Undirected,e60,,,22,22
n43,n32,Undirected,e61,,,30,30
n2,n27,Undirected,e62,,,13,13
n94,n27,Undirected,e63,,,14,14
n9,n90,Undirected,e64,,,15,15
n42,n11,Undirected,e65,,,42,42
n94,n14,Undirected,e66,,,15,15
n27,n11,Undirected,e67,,,11,11
n20,n84,Undirected,e68,,,24,24
n9,n97,Undirected,e69,,,27,27
n6,n2,Undirected,e70,,,19,19
n32,n13,Undirected,e71,,,25,25
n9,n65,Undirected,e72,,,13,13
n4,n78,Undirected,e73,,,25,25
n67,n62,Undirected,e74,,,11,11
n51,n35,Undirected,e75,,,21,21
n35,n29,Undirected,e76,,,23,23
n9,n0,Undirected,e77,,,10,10
n13,n71,Undirected,e78,,,20,20
n22,n66,Undirected,e79,,,11,11
n35,n63,Undirected,e80,,,12,12
n9,n72,Undirected,e81,,,12,12
n6,n34,Undirected,e82,,,21,21
n22,n31,Undirected,e83,,,18,18
n2,n18,Undirected,e84,,,12,12
n42,n20,Undirected,e85,,,49,49
n9,n91,Undirected,e86,,,12,12
n42,n66,Undirected,e87,,,18,18
n22,n50,Undirected,e88,,,19,19
n95,n35,Undirected,e89,,,14,14
n32,n84,Undirected,e90,,,26,26
n22,n29,Undirected,e91,,,31,31
n20,n18,Undirected,e92,,,11,11
n9,n13,Undirected,e93,,,28,28
n22,n41,Undirected,e94,,,10,10
n9,n82,Undirected,e95,,,10,10
n42,n89,Undirected,e96,,,16,16
n43,n57,Undirected,e97,,,18,18
n1,n84,Undirected,e98,,,12,12
n34,n27,Undirected,e99,,,15,15
n9,n42,Undirected,e100,,,63,63
n29,n11,Undirected,e101,,,21,21
n31,n61,Undirected,e102,,,10,10
n42,n63,Undirected,e103,,,24,24
n6,n13,Undirected,e104,,,22,22
n35,n42,Undirected,e105,,,52,52
n2,n84,Undirected,e106,,,25,25
n22,n51,Undirected,e107,,,29,29
n9,n22,Undirected,e108,,,150,150
n94,n29,Undirected,e109,,,24,24
n94,n1,Undirected,e110,,,17,17
n95,n4,Undirected,e111,,,14,14
n35,n84,Undirected,e112,,,27,27
n9,n38,Undirected,e113,,,13,13
n94,n71,Undirected,e114,,,18,18
n67,n97,Undirected,e115,,,12,12
n51,n63,Undirected,e116,,,12,12
n9,n24,Undirected,e117,,,13,13
n94,n34,Undirected,e118,,,24,24
n22,n2,Undirected,e119,,,24,24
n35,n18,Undirected,e120,,,12,12
n13,n27,Undirected,e121,,,15,15
n9,n56,Undirected,e122,,,11,11
n43,n11,Undirected,e123,,,21,21
n9,n79,Undirected,e124,,,17,17
n32,n11,Undirected,e125,,,19,19
n89,n84,Undirected,e126,,,11,11
n39,n52,Undirected,e127,,,13,13
n29,n18,Undirected,e128,,,12,12
n94,n20,Undirected,e129,,,26,26
n9,n49,Undirected,e130,,,13,13
n22,n20,Undirected,e131,,,23,23
n43,n97,Undirected,e132,,,23,23
n51,n34,Undirected,e133,,,22,22
