Id,Label,timeset,citationcount,numberofworks
n0,Virginia Polytech Inst & State Univ,,88,7
n1,Univ Calif Berkeley,,300,15
n2,Queens Univ,,359,24
n3,Case Western Reserve Univ,,31,5
n4,Pacific Northwest Natl Lab,,400,27
n5,Natl Crit Inst,,0,9
n6,South Dakota Sch Mines & Technol,,352,21
n7,Eugene Oneill Soc,,0,11
n8,Univ Texas Austin,,194,12
n9,Tennessee Technol Univ,,11598,1525
n10,Univ Calgary,,0,2
n11,Tech Univ,,180,14
n12,Kennesaw State Univ,,48,14
n13,Lawrence Berkeley Natl Lab,,446,27
n14,Sungkyunkwan Univ,,39,15
n15,Idaho State Univ,,105,11
n16,Southeastern Louisiana Univ,,57,13
n17,Hubei Univ Technol,,42,7
n18,Natl Res Ctr,,233,12
n19,Clemson Univ,,12,8
n20,Triangle Univ Nucl Lab,,341,28
n21,Texas A&m Univ,,355,46
n22,Univ Tennessee,,1105,118
n23,Triumf,,126,13
n24,Hamad Bin Khalifa Univ,,142,13
n25,Chiba Univ,,20,4
n26,Iu Ctr Explorat Energy & Matter,,5,4
n27,Black Hills State Univ,,259,14
n28,Mcmaster Univ,,69,10
n29,Univ South Carolina,,477,30
n30,Griffith Univ,,101,5
n31,Rutgers State Univ,,156,21
n32,Joint Inst Nucl Res,,464,30
n33,Univ Arkansas,,185,11
n34,Univ South Dakota,,343,23
n35,Univ N Carolina,,514,41
n36,United Arab Emirates Univ,,79,12
n37,Vanderbilt Univ,,489,33
n38,Purdue Univ,,270,10
n39,Louisiana State Univ,,203,44
n40,Berea Coll,,0,11
n41,Tech Univ Munich,,172,6
n42,Univ Washington,,619,37
n43,Los Alamos Natl Lab,,566,43
n44,Umm Al Qura Univ,,122,22
n45,King Abdulaziz Univ,,82,13
n46,Univ Minnesota,,140,9
n47,Texas A&m Univ Qatar,,151,21
n48,Univ Florida,,71,7
n49,Virginia Tech,,250,22
n50,Univ Notre Dame,,160,21
n51,North Carolina State Univ,,560,42
n52,Univ Georgia,,129,25
n53,Univ Warsaw,,107,8
n54,Benha Univ,,57,11
n55,Inst Laue Langevin,,151,7
n56,Suny Albany,,21,6
n57,Caltech,,278,20
n58,Univ North Texas,,10,9
n59,Michigan State Univ,,216,22
n60,Tennessee Tech,,144,19
n61,Oak Ridge Associated Univ,,26,11
n62,Univ Guelph,,47,8
n63,Ciemat,,221,12
n64,Int Femtosci Inc,,86,8
n65,Korea Inst Ind Technol,,69,5
n66,Mit,,363,15
n67,Univ Kentucky,,173,24
n68,Auburn Univ,,142,23
n69,Univ Illinois,,126,15
n70,Middle Tennessee State Univ,,188,25
n71,Max Planck Inst Phys & Astrophys,,318,18
n72,Tennessee Wildlife Resources Agcy,,47,10
n73,Babol Noshirvani Univ Technol,,1139,12
n74,Penn State Univ,,104,10
n75,Florida Int Univ,,209,28
n76,Slac Natl Accelerator Lab,,6,5
n77,Williams Coll,,11,7
n78,Duke Univ,,348,25
n79,Colorado Sch Mines,,65,17
n80,Univ Alabama,,210,20
n81,Simon Fraser Univ,,58,9
n82,Northeastern Univ,,36,10
n83,Us Geol Survey,,99,18
n84,Osaka Univ,,362,24
n85,Univ Nebraska,,26,6
n86,Shanghai Jiao Tong Univ,,733,27
n87,Al Hussein Tech Univ,,14,5
n88,Carleton Univ,,482,16
n89,Inst Theoret & Expt Phys,,109,8
n90,Univ Texas San Antonio,,136,15
n91,Indian Inst Technol,,61,12
n92,Sustainable Mt Agr Ctr,,0,11
n93,Univ Michigan,,520,9
n94,Oak Ridge Natl Lab,,1210,143
n95,Princeton Univ,,321,15
n96,Univ Maryland,,149,9
n97,Indiana Univ,,240,22
